high,best_bid,last,cur,symbol,best_ask,vwap,max_bid,volume,low,min_ask,time
5.996e-05,2.101e-05,5.996e-05,ARC,ARC/BCH,5.996e-05,5.996e-05,5.996e-05,12.0,5.996e-05,0.001,Mon Nov 27 18:27:08 2017
3.929e-05,3.338e-05,3.44e-05,SYS,SYS/BTC,3.503e-05,3.492e-05,3.95e-05,183117.016889,3.227e-05,3.227e-05,Mon Nov 27 18:27:08 2017
0.0,0.01999,0.0,POSW,POSW/ICN,0.1499,0.0,0.0,0.0,0.0,0.0,Mon Nov 27 18:27:08 2017
0.00010148,9.22e-05,9.498e-05,BSD,BSD/BTC,9.72e-05,9.443e-05,0.000772,33674.9191926,9.1e-05,9.1e-05,Mon Nov 27 18:27:08 2017
0.0,0.00090241,0.0,OBITS,OBITS/ETH,0.00448429,0.0,0.00090241,0.0,0.0,0.0,Mon Nov 27 18:27:08 2017
0.0,4.01456,0.0,POSW,POSW/RUR,22.49999,0.0,0.0,0.0,0.0,0.0,Mon Nov 27 18:27:08 2017
0.00299999,0.00224825,0.00229063,OTN,OTN/BTC,0.0023328,0.00251197,0.024007,49483.6884513,0.002082,0.001999,Mon Nov 27 18:27:08 2017
6.25e-06,5.03e-06,4.93e-06,TRUMP,TRUMP/BTC,6.24e-06,5.69e-06,6.25e-06,773.39136664,4.54e-06,4.54e-06,Mon Nov 27 18:27:08 2017
0.80599,0.52003,0.80599,OBITS,OBITS/USD,0.8058,0.80599,0.80599,1.23848,0.80599,0.8058,Mon Nov 27 18:27:08 2017
1.024e-05,1.024e-05,1.024e-05,CDX,CDX/BTC,1.194e-05,9.09e-06,1.024e-05,1117.76206952,9e-06,9e-06,Mon Nov 27 18:27:08 2017
2.006e-05,1.811e-05,1.81e-05,OXY,OXY/BTC,1.877e-05,1.904e-05,2.006e-05,128748.04895,1.79e-05,1.79e-05,Mon Nov 27 18:27:08 2017
8e-07,6.2e-07,6.2e-07,VOISE,VOISE/BTC,7.3e-07,7.3e-07,8e-07,351554.823709,6.2e-07,6.2e-07,Mon Nov 27 18:27:08 2017
500000.0,0.0008002,0.00300001,ESC,ESC/BTC,0.00300001,0.00509808,500000.0,19.70993643,0.0003,0.0003,Mon Nov 27 18:27:08 2017
0.0,80.0,0.0,KRB,KRB/RUR,105.63,0.0,91.0,0.0,0.0,155.0,Mon Nov 27 18:27:08 2017
3.22e-06,3.2e-06,3.22e-06,DOLLAR,DOLLAR/BTC,3.22e-06,3.22e-06,3.22e-06,2984.47204968,3.22e-06,3.22e-06,Mon Nov 27 18:27:08 2017
0.0342,0.03244711,0.0342,MNX,MNX/ETH,0.034297,0.03303332,0.0342,973.49188642,0.02810902,0.02810902,Mon Nov 27 18:27:08 2017
0.00475,0.0018479,0.00475,ETHOS,ETHOS/ETH,0.00659998,0.00473907,0.00475,200.7359974,0.0033,0.0033,Mon Nov 27 18:27:08 2017
0.3512,0.28021,0.3512,GNT,GNT/USD,0.3512,0.29526016,0.3512,1895.33656053,0.24,0.24,Mon Nov 27 18:27:08 2017
6.082e-05,5.292e-05,5.599e-05,CTR,CTR/BTC,5.596e-05,5.626e-05,6.4e-05,21789.8285588,5.275e-05,5.275e-05,Mon Nov 27 18:27:08 2017
5.993e-05,4.51e-05,4.352e-05,FirstBlood,FirstBlood/BTC,5.985e-05,4.926e-05,5.993e-05,42.83260173,4.352e-05,4.352e-05,Mon Nov 27 18:27:08 2017
5.2e-07,5.1e-07,5.1e-07,ATX,ATX/BTC,5.2e-07,4.6e-07,5.2e-07,42180.248067,4.1e-07,4.1e-07,Mon Nov 27 18:27:08 2017
0.00083705,0.00067159,0.0006716,GNT,GNT/ETH,0.00083692,0.00066637,0.00083705,2574.87113885,0.000511,0.000511,Mon Nov 27 18:27:08 2017
4.162e-05,3.406e-05,3.521e-05,BLK,BLK/BTC,3.65e-05,3.536e-05,4.162e-05,25955.2243049,3.22e-05,3.22e-05,Mon Nov 27 18:27:08 2017
3e-05,2e-05,3e-05,REE,REE/USD,3e-05,2.095e-05,3e-05,3127818.28261,2e-05,1e-05,Mon Nov 27 18:27:08 2017
1.497e-05,1.411e-05,1.454e-05,POSW,POSW/BTC,1.485e-05,1.397e-05,1.498e-05,77260.8354709,1.283e-05,1.283e-05,Mon Nov 27 18:27:08 2017
0.00054049,0.00042185,0.00041,XRL,XRL/ETH,0.00048506,0.00047586,0.00054049,23561.040988,0.00041,0.00045171,Mon Nov 27 18:27:08 2017
0.0,1.00255,0.0,ZBC,ZBC/RUR,6.99995,0.0,0.0,0.0,0.0,0.0,Mon Nov 27 18:27:08 2017
28.99999997,11.00000001,28.99999997,EL,EL/DANC,34.9999,21.94454183,28.99999997,241.46815731,18.88699995,0.0,Mon Nov 27 18:27:08 2017
0.00067639,0.0006,0.00060439,NVC,NVC/BTC,0.00060924,0.00062045,0.00067639,1634.39118719,0.0006,0.0006,Mon Nov 27 18:27:08 2017
0.0,0.0087,0.0,HNC,HNC/EUR,0.013,0.0,0.0,0.0,0.0,0.0,Mon Nov 27 18:27:08 2017
0.01071,0.00817,0.01054,FST,FST/USD,0.01031,0.0092871,0.014,74158.7405724,0.00793,0.00793,Mon Nov 27 18:27:08 2017
0.0,7.818e-05,0.0,TRST,TRST/ETH,0.00409367,0.0,7.819e-05,0.0,0.0,0.00409367,Mon Nov 27 18:27:08 2017
1.939e-05,1.502e-05,1.9e-05,ENT,ENT/BTC,1.939e-05,1.157e-05,1.94e-05,81296.4216782,5.75e-06,5.75e-06,Mon Nov 27 18:27:08 2017
0.0016,0.00147,0.00153,QTUM,QTUM/BTC,0.00153,0.00154501,0.0016,306.2974799,0.0015,0.0015,Mon Nov 27 18:27:08 2017
108999.99999,75155.00001,108999.99999,BCH,BCH/RUR,108999.99999,108999.99999,108999.99999,0.00092,108999.99999,108999.99999,Mon Nov 27 18:27:08 2017
6e-08,5e-08,5e-08,REE,REE/ETH,6e-08,5e-08,6e-08,3756615.92017,5e-08,5e-08,Mon Nov 27 18:27:08 2017
0.000115,8.846e-05,8.789e-05,EDG,EDG/BTC,0.00011499,0.00010501,0.000115,261.93141279,8.789e-05,8.789e-05,Mon Nov 27 18:27:08 2017
0.00268043,0.00258,0.00259122,TIME,TIME/BTC,0.002605,0.00262054,0.00268043,10110.8420888,0.00255836,0.00255836,Mon Nov 27 18:27:08 2017
0.0095,0.00721,0.00788,UNY,UNY/USD,0.00777,0.00752837,0.00939,47668.5029782,0.00716,0.00716,Mon Nov 27 18:27:08 2017
1e-08,0.0,1e-08,DIME,DIME/BTC,1e-08,1e-08,1e-08,652914.753444,1e-08,1e-08,Mon Nov 27 18:27:08 2017
1.646e-05,1.595e-05,1.595e-05,UNY,UNY/ETH,1.639e-05,1.592e-05,1.646e-05,105779.715291,1.542e-05,1.542e-05,Mon Nov 27 18:27:08 2017
3.42e-06,3.42e-06,3.42e-06,FNC,FNC/BTC,3.93e-06,3.42e-06,3.42e-06,440.29916073,3.42e-06,3.42e-06,Mon Nov 27 18:27:08 2017
0.99999,0.322,0.59999,TRST,TRST/USD,0.59999,0.53015637,3.4,552.1377521,0.321,0.321,Mon Nov 27 18:27:08 2017
0.0045,0.0041,0.00416,NEO,NEO/BTC,0.00415999,0.00417887,0.0045,767.68511994,0.00400116,0.00400115,Mon Nov 27 18:27:08 2017
0.0001947,0.00017891,0.0001828,NMC,NMC/BTC,0.00018574,0.00018679,0.0001947,7979.94179692,0.00017925,0.00017925,Mon Nov 27 18:27:08 2017
0.0,0.00510032,0.0,BNT,BNT/ETH,0.03799974,0.0,0.00510032,0.0,0.0,0.03799974,Mon Nov 27 18:27:08 2017
0.0,1.35056,0.0,ANT,ANT/USD,2.185,0.0,1.35056,0.0,0.0,2.185,Mon Nov 27 18:27:08 2017
5.2,4.2,4.5995,TAAS,TAAS/USD,4.59999,4.38735929,5.2,56.41872589,4.0004,4.0004,Mon Nov 27 18:27:08 2017
16.4,15.1,15.1,MNX,MNX/USD,16.29999,14.13190092,16.4,773.79893577,12.42014,12.42013,Mon Nov 27 18:27:08 2017
0.01975332,0.00800285,0.00800055,DGD,DGD/BTC,0.01489976,0.01290896,0.01975332,2.89961038,0.00800055,0.00800055,Mon Nov 27 18:27:08 2017
0.0,0.0070008,0.0,DAY,DAY/ETH,0.01005567,0.0,0.0069095,0.0,0.0,0.01005497,Mon Nov 27 18:27:08 2017
0.0,0.00017801,0.0,ARTE,ARTE/ETH,0.006,0.0,0.0,0.0,0.0,0.0,Mon Nov 27 18:27:08 2017
5e-06,4.25e-06,4.25e-06,ZBC,ZBC/BTC,4.82e-06,4.38e-06,5e-06,79799.8309981,3.31e-06,3.31e-06,Mon Nov 27 18:27:08 2017
